giorno;valore
2020-02-01;61
2020-02-02;56
2020-02-03;56
2020-02-04;51
2020-02-05;59
2020-02-06;56
2020-02-07;58
2020-02-08;54
2020-02-09;55
2020-02-10;59
2020-02-11;52
2020-02-12;46
2020-02-13;42
2020-02-14;47
2020-02-15;49
2020-02-16;49
2020-02-17;61
2020-02-18;51
2020-02-19;60
2020-02-20;51
2020-02-21;62
2020-02-22;81
2020-02-23;103
2020-02-24;98
2020-02-25;97
2020-02-26;87
2020-02-27;89
2020-02-28;86
2020-02-29;70
2020-03-01;91
2020-03-02;69
2020-03-03;69
2020-03-04;83
2020-03-05;77
2020-03-06;99
2020-03-07;90
2020-03-08;79
2020-03-09;130
2020-03-10;154
2020-03-11;139
2020-03-12;135
2020-03-13;143
2020-03-14;111
2020-03-15;164
2020-03-16;207
2020-03-17;164
2020-03-18;209
2020-03-19;160
2020-03-20;160
2020-03-21;180
2020-03-22;146
2020-03-23;193
2020-03-24;185
2020-03-25;160
2020-03-26;158
2020-03-27;149
2020-03-28;134
2020-03-29;91
2020-03-30;144
2020-03-31;134
2020-04-01;121
2020-04-02;156
2020-04-03;134
2020-04-04;112
2020-04-05;111
2020-04-06;126
2020-04-07;100
2020-04-08;112
2020-04-09;86
2020-04-10;130
2020-04-11;91
2020-04-12;101
2020-04-13;105
2020-04-14;106
2020-04-15;97
2020-04-16;77
2020-04-17;77
2020-04-18;69
2020-04-19;70
2020-04-20;80
2020-04-21;95
2020-04-22;74
2020-04-23;72
2020-04-24;74
2020-04-25;65
2020-04-26;55
2020-04-27;69
2020-04-28;60
2020-04-29;68
2020-04-30;56
2020-05-01;61
2020-05-02;67
2020-05-03;56
2020-05-04;60
2020-05-05;63
2020-05-06;61
2020-05-07;45
2020-05-08;47
2020-05-09;51
2020-05-10;52
2020-05-11;47
2020-05-12;60
2020-05-13;36
2020-05-14;58
2020-05-15;43
2020-05-16;46
2020-05-17;37
2020-05-18;47
2020-05-19;52
2020-05-20;43
2020-05-21;47
2020-05-22;47
2020-05-23;40
2020-05-24;43
2020-05-25;48
2020-05-26;35
2020-05-27;28
2020-05-28;36
2020-05-29;39
2020-05-30;34
2020-05-31;44
2020-06-01;44
2020-06-02;29
2020-06-03;40
2020-06-04;54
2020-06-05;41
2020-06-06;50
2020-06-07;40
2020-06-08;40
2020-06-09;35
2020-06-10;33
2020-06-11;28
2020-06-12;27
2020-06-13;41
2020-06-14;33
2020-06-15;42
2020-06-16;51
2020-06-17;40
2020-06-18;54
2020-06-19;47
2020-06-20;40
2020-06-21;46
2020-06-22;32
2020-06-23;49
2020-06-24;30
2020-06-25;57
2020-06-26;53
2020-06-27;32
2020-06-28;40
2020-06-29;61
