giorno;valore
2020-02-01;65
2020-02-02;65
2020-02-03;59
2020-02-04;71
2020-02-05;63
2020-02-06;49
2020-02-07;55
2020-02-08;43
2020-02-09;57
2020-02-10;71
2020-02-11;49
2020-02-12;72
2020-02-13;57
2020-02-14;45
2020-02-15;56
2020-02-16;51
2020-02-17;71
2020-02-18;49
2020-02-19;52
2020-02-20;58
2020-02-21;109
2020-02-22;118
2020-02-23;152
2020-02-24;157
2020-02-25;161
2020-02-26;140
2020-02-27;147
2020-02-28;140
2020-02-29;147
2020-03-01;150
2020-03-02;185
2020-03-03;198
2020-03-04;206
2020-03-05;174
2020-03-06;179
2020-03-07;195
2020-03-08;145
2020-03-09;231
2020-03-10;239
2020-03-11;217
2020-03-12;247
2020-03-13;278
2020-03-14;244
2020-03-15;242
2020-03-16;254
2020-03-17;257
2020-03-18;272
2020-03-19;280
2020-03-20;249
2020-03-21;239
2020-03-22;223
2020-03-23;253
2020-03-24;262
2020-03-25;201
2020-03-26;200
2020-03-27;184
2020-03-28;168
2020-03-29;169
2020-03-30;165
2020-03-31;158
2020-04-01;164
2020-04-02;166
2020-04-03;162
2020-04-04;105
2020-04-05;108
2020-04-06;118
2020-04-07;128
2020-04-08;133
2020-04-09;128
2020-04-10;122
2020-04-11;111
2020-04-12;98
2020-04-13;95
2020-04-14;130
2020-04-15;100
2020-04-16;100
2020-04-17;73
2020-04-18;72
2020-04-19;78
2020-04-20;98
2020-04-21;89
2020-04-22;82
2020-04-23;80
2020-04-24;93
2020-04-25;87
2020-04-26;88
2020-04-27;98
2020-04-28;77
2020-04-29;67
2020-04-30;64
2020-05-01;65
2020-05-02;74
2020-05-03;56
2020-05-04;64
2020-05-05;72
2020-05-06;73
2020-05-07;75
2020-05-08;66
2020-05-09;59
2020-05-10;61
2020-05-11;57
2020-05-12;76
2020-05-13;63
2020-05-14;53
2020-05-15;54
2020-05-16;59
2020-05-17;53
2020-05-18;46
2020-05-19;53
2020-05-20;43
2020-05-21;61
2020-05-22;49
2020-05-23;45
2020-05-24;47
2020-05-25;44
2020-05-26;46
2020-05-27;45
2020-05-28;49
2020-05-29;41
2020-05-30;54
2020-05-31;36
2020-06-01;58
2020-06-02;51
2020-06-03;52
2020-06-04;52
2020-06-05;45
2020-06-06;45
2020-06-07;42
2020-06-08;43
2020-06-09;46
2020-06-10;28
2020-06-11;42
2020-06-12;48
2020-06-13;44
2020-06-14;49
2020-06-15;45
2020-06-16;41
2020-06-17;51
2020-06-18;35
2020-06-19;33
2020-06-20;41
2020-06-21;37
2020-06-22;51
2020-06-23;54
2020-06-24;55
2020-06-25;57
2020-06-26;43
2020-06-27;50
2020-06-28;35
2020-06-29;53
